x,y, type    , rotation
0,0, turn     ,270
0,1, straight ,90
0,2, straight ,90
0,3, 3way     ,270
0,4, straight ,90
0,5, turn     ,180
0,6, empty    ,0
0,7, empty    ,0
1,0, straight ,0
1,1, empty    ,0
1,2, empty    ,0
1,3, straight ,0
1,4, empty    ,0
1,5, turn     ,0
1,6, straight ,90
1,7, turn     ,180
2,0, 3way     ,0
2,1, straight ,90
2,2, straight ,90
2,3, 4way     ,0
2,4, straight ,90
2,5, turn     ,180
2,6, empty    ,0
2,7, straight ,0
3,0, straight ,0
3,1, empty    ,0
3,2, empty    ,0
3,3, straight ,0
3,4, empty    ,0
3,5, 3way     ,0
3,6, straight ,90
3,7, turn     ,90
4,0, turn     ,0
4,1, straight ,90
4,2, straight ,90
4,3, 3way     ,90
4,4, straight ,90
4,5, turn     ,90
4,6, empty    ,0
4,7, empty    ,0
